Country,m49
Armenia,51
Afghanistan,4
Albania,8
Algeria,12
American Samoa,16
Andorra,20
Angola,24
Antigua and Barbuda,28
Argentina,32
Australia,36
Austria,40
Bahamas,44
Bahrain,48
Barbados,52
Bangladesh,50
Bermuda,60
Benin,204
Bolivia (Plurinational State of),68
Botswana,72
Brazil,76
Aruba,533
Belize,84
Bhutan,64
Brunei Darussalam,96
Bulgaria,100
Myanmar,104
Burkina Faso,854
Burundi,108
Canada,124
Cabo Verde,132
Cayman Islands,136
Cameroon,120
Côte d'Ivoire,384
Central African Republic,140
Chile,152
"China, mainland",156
Colombia,170
Chad,148
Congo,178
Cook Islands,184
Costa Rica,188
Cuba,192
Cyprus,196
Azerbaijan,31
Comoros,174
Denmark,208
Dominica,212
Dominican Republic,214
Belarus,112
Ecuador,218
Egypt,818
El Salvador,222
Equatorial Guinea,226
Gabon,266
Estonia,233
Faroe Islands,234
Falkland Islands (Malvinas),238
Fiji,242
Finland,246
France,250
French Guiana,254
French Polynesia,258
Democratic People's Republic of Korea,408
Georgia,268
Grenada,308
Democratic Republic of the Congo,180
Germany,276
Bosnia and Herzegovina,70
Djibouti,262
Gibraltar,292
Kiribati,296
Greece,300
Greenland,304
Honduras,340
Guadeloupe,312
Guam,316
Guatemala,320
Eritrea,232
Guyana,328
Ethiopia,231
Holy See,336
"China, Hong Kong SAR",344
Hungary,348
Croatia,191
Iceland,352
Gambia,270
Indonesia,360
Iran (Islamic Republic of),364
Iraq,368
Ireland,372
Israel,376
Italy,380
Ghana,288
Kazakhstan,398
Jamaica,388
Japan,392
Jordan,400
Guinea,324
Guinea-Bissau,624
Cambodia,116
Haiti,332
Republic of Korea,410
Kuwait,414
Latvia,428
Lao People's Democratic Republic,418
Lebanon,422
Kenya,404
India,356
Libya,434
Liechtenstein,438
Lithuania,440
Marshall Islands,584
"China, Macao SAR",446
Maldives,462
Kyrgyzstan,417
Malaysia,458
Mauritius,480
Lesotho,426
Malta,470
Martinique,474
Liberia,430
Mongolia,496
Mexico,484
Monaco,492
Madagascar,450
Montserrat,500
Morocco,504
Malawi,454
Micronesia (Federated States of),583
Republic of Moldova,498
Namibia,516
Nauru,520
Mali,466
Netherlands,528
Netherlands Antilles (former),530
New Caledonia,540
North Macedonia,807
Vanuatu,548
New Zealand,554
Mauritania,478
Pakistan,586
Mozambique,508
Niue,570
Norfolk Island,574
Norway,578
Northern Mariana Islands,580
Peru,604
Panama,591
Czech Republic,203
Nepal,524
Paraguay,600
Saint Kitts and Nevis,659
Philippines,608
Pitcairn Islands,612
Poland,616
Portugal,620
Nicaragua,558
Timor-Leste,626
Puerto Rico,630
Niger,562
Qatar,634
Palau,585
Nigeria,566
Réunion,638
Romania,642
Papua New Guinea,598
Russian Federation,643
"Saint Helena, Ascension and Tristan da Cunha",654
Saint Lucia,662
Saint Vincent and the Grenadines,670
Saint Pierre and Miquelon,666
Sri Lanka,144
San Marino,674
Rwanda,646
Saudi Arabia,682
Sao Tome and Principe,678
Seychelles,690
Senegal,686
Slovenia,705
Slovakia,703
Singapore,702
Sierra Leone,694
South Africa,710
Spain,724
Western Sahara,732
Solomon Islands,90
Suriname,740
Somalia,706
Swaziland,748
Sweden,752
Switzerland,756
South Sudan,728
Turkmenistan,795
"China, Taiwan Province of",158
Sudan,729
Thailand,764
Tokelau,772
Tonga,776
Trinidad and Tobago,780
Oman,512
Tunisia,788
Turkey,792
Turks and Caicos Islands,796
United Arab Emirates,784
Syrian Arab Republic,760
Tuvalu,798
United Kingdom of Great Britain and Northern Ireland,826
Ukraine,804
United States of America,840
Tajikistan,762
Uruguay,858
Togo,768
Venezuela (Bolivarian Republic of),862
Viet Nam,704
Uganda,800
British Virgin Islands,92
United States Virgin Islands,850
Wallis and Futuna Islands,876
Samoa,882
United Republic of Tanzania,834
Uzbekistan,860
Zambia,894
Belgium,56
Luxembourg,442
Anguilla,660
Channel Islands,830
Svalbard and Jan Mayen Islands,744
Isle of Man,833
Mayotte,175
Serbia,688
Montenegro,499
Yemen,887
Zimbabwe,716
Curaçao,531
Sint Maarten (Dutch Part),534
Palestine,275
